"customer_id","user_id","customer_code","full_name","gender","birthday","avatar_url","loyalty_points","customer_rank","total_orders","total_spent","preferred_size","preferred_color","preferred_style","created_at","updated_at"
"1","1","KH000001","Bui Thanh Khoi","unknown","","","0","standard","0","0.00","","","","5/29/2026 8:31:45 AM","5/29/2026 8:31:45 AM"
"7","7","KH000007","Probe User","unknown","","","0","standard","0","0.00","","","","5/30/2026 4:10:06 AM","5/30/2026 4:10:06 AM"
"8","8","KH000008","Khoi","male","","","0","standard","0","0.00","","","","5/30/2026 4:12:32 AM","5/30/2026 4:12:32 AM"
"11","11","KH000011","Address User","unknown","","","0","standard","0","0.00","","","","5/30/2026 4:34:42 AM","5/30/2026 4:34:42 AM"
"12","12","KH000012","Flow Test","unknown","","","0","standard","0","0.00","","","","5/30/2026 4:37:37 AM","5/30/2026 4:37:37 AM"
"13","13","KH000013","Quan tri vien","other","","","0","standard","0","0.00","","","","5/30/2026 4:44:58 AM","5/30/2026 4:46:42 AM"
"14","14","KH000014","Khach hang demo","unknown","","","0","standard","0","0.00","","","","5/30/2026 4:44:58 AM","5/30/2026 4:46:42 AM"
"17","20","KH000020","Thanh Khôi","male","5/31/2026 12:00:00 AM","","0","standard","0","0.00","","","","5/31/2026 3:03:06 PM","5/31/2026 3:03:06 PM"
"18","21","KH000021","Thanh Khôi","female","5/31/2026 12:00:00 AM","","0","standard","0","0.00","","","","5/31/2026 3:48:32 PM","5/31/2026 3:48:32 PM"
"19","22","KH000022","Thanh Khôi","female","11/21/2005 12:00:00 AM","","0","standard","0","0.00","","","","5/31/2026 4:41:38 PM","5/31/2026 4:41:38 PM"
